,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CẢ NƯỚC,7.871,8.495,8.538,8.550,8.547,8.546,8.597,8.660,8.591,8.580,8.475
Hạng 1,215,219,224,232,247,236,236,284,236,234,229
Hạng 2,921,954,907,936,926,935,932,924,902,888,903
Hạng 3,6.735,7.322,7.407,7.382,7.374,7.375,7.429,7.452,7.453,7.458,7.343
Đồng bằng sông Hồng,1.717,1.745,1.781,1.782,1.798,1.815,1.822,1.843,1.845,1.851,1.861
Hà Nội,362,410,411,411,414,418,426,425,454,454,454
Vĩnh Phúc,103,64,59,59,77,68,76,76,81,84,94
Bắc Ninh,86,91,91,91,91,108,103,108,107,107,108
Quảng Ninh,131,138,132,132,135,136,136,133,132,133,133
Hải Dương,150,150,176,176,176,175,151,175,178,172,172
Hải Phòng,155,151,152,143,143,143,154,154,154,154,154
Hưng Yên,99,99,99,99,99,101,103,104,106,107,107
Thái Bình,233,233,233,233,233,233,241,233,221,221,218
Hà Nam,87,93,98,106,106,110,110,110,110,110,110
Nam Định,196,201,211,213,215,216,215,216,200,200,201
Ninh Bình,115,115,119,119,109,107,107,109,102,109,110
Trung du và miền núi phía Bắc,1.236,1.393,1.404,1.423,1.407,1.429,1.442,1.439,1.416,1.416,1.413
Hà Giang,195,186,196,193,178,176,179,166,156,162,162
Cao Bằng,75,77,78,80,80,80,80,83,84,82,77
Bắc Kạn,66,77,65,65,65,65,65,66,66,66,65
Tuyên Quang,63,77,78,79,82,91,92,94,94,96,97
Lào Cai,72,70,72,72,71,77,77,77,77,73,74
Yên Bái,104,105,105,107,107,103,103,103,103,97,98
Thái Nguyên,135,137,135,137,137,138,139,139,139,140,140
Lạng Sơn,79,84,84,84,84,86,83,84,83,83,83
Bắc Giang,11,130,130,131,131,131,135,134,132,133,132
Phú Thọ,208,210,214,214,213,213,214,214,214,214,215
Điện Biên,30,27,30,38,38,38,38,38,38,38,38
Lai Châu,15,14,22,26,24,25,25,26,28,28,28
Sơn La,98,98,103,105,105,114,119,122,109,110,111
Hòa Bình,85,101,92,92,92,92,93,93,93,94,93
Bắc Trung Bộ và duyên hải miền Trung,2.325,2.475,2.462,2.427,2.457,2.466,2.482,2.488,2.431,2.401,2.381
Thanh Hóa,401,405,405,408,455,433,433,433,396,396,398
Nghệ An,214,370,380,370,370,404,405,405,405,405,392
Hà Tĩnh,171,173,173,173,173,173,173,173,173,168,168
Quảng Bình,134,142,152,155,156,150,161,161,154,154,149
Quảng Trị,154,77,77,77,77,80,80,90,90,77,77
Thừa Thiên - Huế,150,151,153,153,154,157,158,159,158,158,149
Đà Nẵng,84,85,85,85,66,69,69,70,70,70,69
Quảng Nam,145,156,156,160,160,161,154,154,154,154,159
Quảng Ngãi,155,155,153,157,154,158,158,158,148,146,147
Bình Định,212,212,210,171,171,173,179,179,179,179,179
Phú Yên,141,149,150,146,147,151,151,142,141,141,141
Khánh Hòa,125,125,125,125,125,125,125,125,125,115,115
Ninh Thuận,100,99,101,101,104,95,99,101,101,101,101
Bình Thuận,139,176,142,146,145,137,137,138,137,137,137
Tây Nguyên,345,352,356,370,368,362,369,378,374,380,385
Kon Tum,30,30,25,27,25,24,24,26,26,27,27
Gia Lai,73,73,76,84,83,83,87,88,91,93,93
Đắk Lắk,138,145,146,146,146,146,148,149,148,148,148
Đắk Nông,38,38,43,46,47,41,41,41,34,35,35
Lâm Đồng,66,66,66,67,67,68,69,74,75,77,82
Đông Nam Bộ,572,763,756,766,778,748,744,761,750,757,760
Bình Phước,50,50,50,50,50,50,50,52,52,56,56
Tây Ninh,95,103,86,105,109,107,104,109,102,104,107
Bình Dương,78,81,83,86,91,95,95,105,106,106,106
Đồng Nai,37,192,193,199,200,167,168,169,162,164,165
Bà Rịa - Vũng Tàu,74,88,89,79,85,86,87,86,88,88,88
TP. Hồ Chí Minh,238,249,255,247,243,243,240,240,240,239,238
Đồng bằng sông Cửu Long,1.676,1.767,1.779,1.782,1.739,1.726,1.738,1.751,1.775,1.775,1.675
Long An,113,114,122,125,124,125,127,131,135,134,133
Tiền Giang,171,171,171,171,171,173,174,176,176,176,173
Bến Tre,172,172,174,170,170,170,170,170,170,172,172
Trà Vinh,112,112,111,115,115,120,121,121,118,116,116
Vĩnh Long,101,101,103,108,110,110,112,115,115,115,115
Đồng Tháp,186,228,228,229,228,229,230,230,257,264,196
An Giang,229,269,278,279,230,194,198,200,202,202,202
Kiên Giang,165,150,146,132,130,143,143,143,137,144,144
Cần Thơ,102,104,102,107,107,107,107,107,106,112,107
Hậu Giang,60,64,64,65,73,70,70,71,72,72,64
Sóc Trăng,120,125,125,125,126,131,132,132,133,133,118
Bạc Liêu,72,72,69,69,69,69,69,69,69,63,63
Cà Mau,73,85,86,87,86,85,85,86,85,72,72
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
